Teams,Week29,Week28,Week27,Week26,Week25,Week24,Week23,Week22,Week21,Week20,Week19,Week18,Week17,Week16,Week15,Week14,Week13,Week12,Week11,Week10,Week09,Week08,Week07,Week06,Week05,Week04,Week03,Week02,Week01
Arsenal,45,45,45,45,42,42,39,38,38,37,34,33,30,29,28,28,25,22,19,19,16,13,13,10,7,6,3,3,3
Bournemouth,33,32,31,31,28,25,24,21,20,17,16,16,16,16,15,14,14,13,10,7,7,4,4,3,3,0,0,0,0
Brighton and Hove Albion,34,31,28,27,24,23,23,23,22,21,21,18,17,17,17,17,16,16,15,12,11,8,7,7,4,4,1,0,0
Burnley,40,37,36,36,35,34,34,34,34,33,32,32,31,28,25,25,22,22,19,16,13,13,12,9,8,7,4,3,3
Chelsea,53,53,53,50,50,50,47,46,45,42,39,38,35,32,32,29,26,25,22,19,16,13,13,13,10,9,6,3,0
Crystal Palace,27,27,27,27,26,25,25,22,19,18,18,17,14,11,10,9,8,5,4,4,3,3,0,0,0,0,0,0,0
Everton,34,34,34,31,31,28,27,27,27,27,26,25,22,19,18,15,12,12,11,8,8,8,7,7,4,4,4,4,3
Huddersfield Town,30,30,27,24,24,24,24,24,24,23,22,21,18,18,15,15,15,15,15,12,12,9,9,9,8,7,7,6,3
Leicester City,37,36,35,35,34,34,31,30,27,27,27,26,26,23,20,17,14,13,13,12,9,6,5,4,4,3,3,3,0
Liverpool,60,57,54,51,50,47,47,44,41,38,35,34,31,30,29,26,23,22,19,16,13,13,12,11,8,7,7,4,1
Manchester City,78,75,72,69,68,65,62,62,59,58,55,52,49,46,43,40,37,34,31,28,25,22,19,16,13,10,9,6,3
Manchester United,59,59,56,56,53,53,50,47,44,43,42,41,38,35,35,32,29,26,23,23,20,20,19,16,13,10,7,4,3
Newcastle,29,29,28,25,24,23,23,22,19,18,18,15,15,15,15,15,14,14,14,14,14,11,10,9,9,6,3,0,0
Southampton,28,27,26,26,23,22,21,20,20,19,19,18,18,18,17,16,16,13,13,13,12,9,8,8,8,5,5,4,1
Stoke City,27,26,25,24,24,23,20,20,20,20,19,16,16,16,16,13,13,13,12,11,8,8,8,5,5,5,4,3,0
Swansea,30,27,27,24,23,20,17,16,16,13,13,12,12,12,9,9,9,8,8,8,8,8,5,5,5,4,4,1,1
Tottenham Hotspur,58,55,52,49,48,45,44,41,37,37,34,31,31,28,25,24,24,23,23,20,20,17,14,11,8,7,4,3,3
Watford,36,33,30,30,27,26,26,25,25,25,22,22,22,22,22,21,21,18,15,15,15,15,12,11,8,8,5,4,1
West Bromwich Albion,20,20,20,20,20,20,19,16,16,15,14,14,14,13,13,12,11,10,10,10,10,10,9,8,8,7,7,6,3
West Ham United,30,30,30,27,27,26,25,22,18,18,17,17,14,13,10,10,10,9,9,9,8,8,7,4,4,3,0,0,0
